date,country,location,entity,value
2020-03-29,GB,Brighton and Hove,grocery_pharm,-0.48
2020-03-29,GB,Brighton and Hove,parks,-0.59
2020-03-29,GB,Brighton and Hove,transit,-0.77
2020-03-29,GB,Brighton and Hove,workplace,-0.64
2020-03-29,GB,Brighton and Hove,residential,0.3
2020-03-29,GB,Buckinghamshire,retail_recr,-0.85
2020-03-29,GB,Buckinghamshire,grocery_pharm,-0.45
2020-03-29,GB,Buckinghamshire,parks,-0.43
2020-03-29,GB,Buckinghamshire,transit,-0.74
2020-03-29,GB,Buckinghamshire,workplace,-0.57
2020-03-29,GB,Buckinghamshire,residential,0.16
2020-03-29,GB,Caerphilly County Borough,retail_recr,-0.78
2020-03-29,GB,Caerphilly County Borough,grocery_pharm,-0.41
2020-03-29,GB,Caerphilly County Borough,parks,-0.52
2020-03-29,GB,Caerphilly County Borough,transit,-0.54
2020-03-29,GB,Caerphilly County Borough,workplace,-0.47
2020-03-29,GB,Caerphilly County Borough,residential,0.25
2020-03-29,GB,Cambridgeshire,retail_recr,-0.87
2020-03-29,GB,Cambridgeshire,grocery_pharm,-0.48
2020-03-29,GB,Cambridgeshire,parks,-0.51
2020-03-29,GB,Cambridgeshire,transit,-0.79
2020-03-29,GB,Cambridgeshire,workplace,-0.54
2020-03-29,GB,Cambridgeshire,residential,0.16
2020-03-29,GB,Cardiff,retail_recr,-0.86
2020-03-29,GB,Cardiff,grocery_pharm,-0.45
2020-03-29,GB,Cardiff,parks,-0.48
2020-03-29,GB,Cardiff,transit,-0.79
2020-03-29,GB,Cardiff,workplace,-0.59
2020-03-29,GB,Cardiff,residential,0.17
2020-03-29,GB,Carmarthenshire,retail_recr,-0.81
2020-03-29,GB,Carmarthenshire,grocery_pharm,-0.46
2020-03-29,GB,Carmarthenshire,parks,-0.57
2020-03-29,GB,Carmarthenshire,transit,-0.6
2020-03-29,GB,Carmarthenshire,workplace,-0.49
2020-03-29,GB,Carmarthenshire,residential,0.24
2020-03-29,GB,Causeway Coast and Glens,retail_recr,-0.87
2020-03-29,GB,Causeway Coast and Glens,grocery_pharm,-0.41
2020-03-29,GB,Causeway Coast and Glens,parks,-0.66
2020-03-29,GB,Causeway Coast and Glens,transit,-0.64
2020-03-29,GB,Causeway Coast and Glens,workplace,-0.55
2020-03-29,GB,Causeway Coast and Glens,residential,0.26
2020-03-29,GB,Central Bedfordshire,retail_recr,-0.82
2020-03-29,GB,Central Bedfordshire,grocery_pharm,-0.45
2020-03-29,GB,Central Bedfordshire,parks,-0.41
2020-03-29,GB,Central Bedfordshire,transit,-0.74
2020-03-29,GB,Central Bedfordshire,workplace,-0.54
2020-03-29,GB,Central Bedfordshire,residential,0.2
2020-03-29,GB,Ceredigion,retail_recr,-0.84
2020-03-29,GB,Ceredigion,grocery_pharm,-0.54
2020-03-29,GB,Ceredigion,parks,-0.6
2020-03-29,GB,Ceredigion,transit,-0.69
2020-03-29,GB,Ceredigion,workplace,-0.57
2020-03-29,GB,Ceredigion,residential,0.06
2020-03-29,GB,Cheshire East,retail_recr,-0.84
2020-03-29,GB,Cheshire East,grocery_pharm,-0.47
